2-1184-003, 51.0
2-1370-003, 40.0
2-1152-003, 35.0
2-1363-003, 31.0
1-0530-003, 26.0
2-1376-003, 32.0
2-1386-003, 31.0
1-0372-003, 30.0
2-1328-003, 17.0
1-0459-003, 37.0
2-0210-005, 47.0
2-1362-003, 38.0
2-1085-003, 43.0
2-1437-003, 38.0
2-1116-003, 27.0
2-1330-003, 44.0
2-1195-003, 55.0
2-1431-003, 16.0
2-0070-003, 26.0
2-1169-004, 56.0
2-0299-005, 33.0
2-1127-003, 37.0
2-1194-003, 43.0
2-1365-003, 28.0
1-0286-003, 90.0
1-0518-003, 27.0
2-1295-003, 27.0
2-0003-003, 55.0
2-1239-003, 41.0
2-1131-003, 37.0
2-1359-004, 43.0
2-1455-003, 34.0
2-0102-004, 40.0
2-0306-004, 37.0
2-1373-003, 36.0
3-0246-000, 27.0
2-1292-003, 31.0
1-0092-004, 45.0
2-0012-003, 48.0
1-0292-005, 42.0
2-0319-003, 36.0
2-1278-003, 33.0
1-0320-004, 34.0
1-0025-004, 39.0
2-0043-003, 34.0
2-1308-003, 33.0
2-1346-003, 18.0
2-0298-003, 41.0
2-0286-004, 41.0
1-0231-004, 28.0
2-0296-003, 37.0
1-0441-003, 37.0
1-0292-003, 184.0
2-1428-003, 26.0
1-0203-003, 56.0
2-1105-003, 40.0
2-1244-003, 36.0
2-0116-005, 36.0
3-0428-000, 43.0
2-0063-005, 28.0
2-0305-004, 44.0
2-1368-003, 35.0
2-1268-003, 36.0
2-1441-003, 40.0
2-1231-003, 29.0
2-0225-004, 25.0
2-1407-003, 33.0
2-0006-004, 44.0
2-1314-003, 26.0
2-1408-003, 53.0
2-0011-003, 35.0
1-0400-003, 33.0
1-0454-003, 36.0
2-1317-003, 30.0
1-0483-003, 33.0
1-0232-004, 42.0
2-1303-003, 13.0
1-0279-003, 47.0
2-1305-003, 34.0
2-0016-003, 31.0
2-1438-003, 25.0
2-1189-003, 30.0
2-1353-003, 34.0
1-0339-003, 55.0
2-1477-003, 33.0
2-0081-003, 41.0
2-1422-003, 29.0
2-0098-003, 29.0
2-1486-003, 36.0
1-0487-003, 27.0
1-0232-003, 38.0
2-1164-003, 35.0
1-0231-003, 40.0
2-1323-003, 34.0
2-1235-003, 42.0
1-0507-003, 33.0
2-1167-003, 25.0
2-0126-004, 31.0
2-0129-005, 41.0
1-0304-003, 44.0
2-0142-003, 56.0
2-1355-003, 33.0
2-0223-003, 38.0
2-1425-003, 51.0
2-0011-004, 34.0
2-1160-003, 38.0
2-0007-004, 42.0
1-0452-003, 29.0
1-0479-006, 41.0
1-0234-004, 46.0
2-1451-003, 31.0
2-1178-003, 41.0
2-1322-003, 43.0
1-0171-004, 33.0
2-0171-004, 27.0
2-0102-003, 33.0
2-0270-004, 51.0
1-0277-003, 27.0
1-0255-003, 27.0
1-0130-004, 37.0
2-0197-003, 147.0
