"V1","V2"
"ENSG00000119865",4
"ENSG00000160145",4
"ENSG00000104998",4
"ENSG00000181894",4
"ENSG00000108684",4
"ENSG00000121101",4
"ENSG00000078369",4
"ENSG00000114279",4
"ENSG00000148180",4
"ENSG00000181090",4
"ENSG00000166407",4
"ENSG00000124116",4
"ENSG00000015413",4
"ENSG00000153147",4
"ENSG00000260802",4
"ENSG00000106571",4
"ENSG00000148498",4
"ENSG00000100504",4
"ENSG00000267243",4
"ENSG00000116473",4
"ENSG00000204677",4
"ENSG00000101236",4
"ENSG00000241288",4
"ENSG00000186432",4
"ENSG00000226983",4
"ENSG00000105877",4
"ENSG00000135049",4
"ENSG00000113924",4
"ENSG00000160199",4
"ENSG00000196712",4
"ENSG00000150750",4
"ENSG00000144040",4
"ENSG00000115239",4
"ENSG00000153827",4
"ENSG00000279877",4
"ENSG00000231252",4
"ENSG00000258677",4
"ENSG00000232058",4
"ENSG00000135074",4
"ENSG00000198589",4
"ENSG00000183735",4
"ENSG00000100239",4
"ENSG00000080608",4
"ENSG00000151491",4
"ENSG00000258399",4
"ENSG00000048545",4
"ENSG00000139287",4
"ENSG00000154654",4
"ENSG00000163009",4
"ENSG00000100478",4
"ENSG00000156958",4
"ENSG00000135241",4
"ENSG00000172349",4
"ENSG00000197934",4
"ENSG00000126733",4
"ENSG00000239650",4
"ENSG00000135218",4
"ENSG00000112739",4
"ENSG00000103353",4
"ENSG00000178338",4
"ENSG00000244187",4
"ENSG00000141431",4
"ENSG00000066933",4
"ENSG00000166352",4
"ENSG00000172175",4
"ENSG00000170456",4
"ENSG00000118816",4
"ENSG00000106299",4
"ENSG00000185070",4
"ENSG00000182973",4
"ENSG00000226717",4
"ENSG00000100784",4
"ENSG00000196350",4
"ENSG00000231918",4
"ENSG00000182674",4
"ENSG00000153956",4
"ENSG00000237693",4
"ENSG00000226829",4
"ENSG00000105339",4
"ENSG00000169340",4
"ENSG00000214517",4
"ENSG00000258969",4
"ENSG00000006534",4
"ENSG00000092108",4
"ENSG00000249409",4
"ENSG00000236497",4
"ENSG00000134690",4
"ENSG00000155816",4
"ENSG00000119772",4
"ENSG00000085978",4
"ENSG00000158258",4
"ENSG00000248491",4
"ENSG00000243144",4
"ENSG00000164756",4
"ENSG00000135040",4
"ENSG00000165730",4
"ENSG00000254746",4
"ENSG00000089094",4
"ENSG00000130779",4
"ENSG00000276476",4
"ENSG00000236319",4
"ENSG00000185010",4
"ENSG00000164985",4
"ENSG00000140006",4
"ENSG00000136643",4
"ENSG00000139505",4
"ENSG00000103647",4
"ENSG00000178796",4
"ENSG00000248740",4
"ENSG00000181035",4
"ENSG00000224184",4
"ENSG00000138193",4
"ENSG00000236303",4
"ENSG00000111731",4
"ENSG00000221818",4
"ENSG00000152402",4
"ENSG00000044115",4
"ENSG00000102882",4
"ENSG00000057593",4
"ENSG00000018189",4
"ENSG00000237818",4
"ENSG00000259579",4
"ENSG00000257060",4
"ENSG00000248405",4
"ENSG00000188906",4
"ENSG00000122591",4
"ENSG00000204397",4
"ENSG00000265944",4
"ENSG00000169126",4
"ENSG00000136492",4
"ENSG00000237927",4
"ENSG00000104299",4
"ENSG00000130413",4
"ENSG00000233896",4
"ENSG00000139549",4
"ENSG00000079482",4
"ENSG00000250969",4
"ENSG00000244588",4
"ENSG00000196369",4
"ENSG00000134986",4
"ENSG00000102908",4
"ENSG00000196535",4
"ENSG00000143850",4
"ENSG00000148606",4
"ENSG00000121933",4
"ENSG00000236922",4
"ENSG00000255794",4
"ENSG00000267509",4
"ENSG00000178172",4
"ENSG00000263711",4
